1.　一	Nhất		Số 1				1 gạch ngang
8.毒		Độc			Thuốc độc			Xin đừng cho vua uống thuốc độc

1.良		Lương		Tốt					
2.食		Thực		Ăn					Người tốt thì được ăn ngon
3.娘		Nương		Con gái				Nuôi dạy con gái trở thành phụ nữ tốt
4.狼		Lang		Chó sói				Chó tốt là chó sói
5.郎		Lang		Con trai			Tốt với bồ là con trai
6.廊		Lang		Hành lang			Dưới hiên nhà con trai đang dọn hành lang
7.朗		Lãng		Rõ ràng				Ánh trăng tốt thì sẽ chiếu rõ ràng
8.浪		Lãng		Lãng tử				Lãng tử chỉ được cái tốt nước sơn

1.銀		Ngân		Bạc					Bạc không tốt bằng vàng
2.痕		Ngân		Vết sẹo				Bị bệnh mà điều trị không tốt thì có sẹo
3.恨		Hận			Hận thù				Trái tim không tốt để lại hận thù
4.根		Căn			Gốc rễ				Cây không tốt là do gốc rễ
5.限		Hạn			Giới hạn			Em bồ không tốt nên giới hạn thôi
6.眼		Nhãn		Nhãn cầu			Mắt không tốt do nhãn cầu
7.退		Thoái		Rút lui				Dẫn quân không tốt phải rút lui
8.爵		Tước		Tước hầu			Tước hầu dùng móng tay chạm mắt không tốt dẫn tới thốn
9.郷		Hương		Quê hương			Yêu mà không tốt với bồ thì nó bỏ về quê hương
10.響	Hưởng		Âm hưởng			Âm thanh quê hương tạo ra âm hưởng
11.即	Tức			Tức khắc			Gặp người không tốt thì tức điên tiết
12.節	Tiết		Tiết kiệm			Trúc trong tức khắc biết tiết kiệm

1.魚		Ngư			Cá					Móc cá trên ruộng để nướng
2.漁		Ngư			Ngư nghiệp			Nuôi cá dưới nước là nghề ngư nghiệp

1.介		Giới		Giới thiệu			Giống hình mũi tên suy ra
2.界		Giới		Thế giới			Thế giới có ruộng

1.里		Lý			Làng				Có nhiều ruộng đất là ông lý
2.理		Lý			Lý do				Ông vua xử ông lý là có lý do
3.鯉		Lý			Cá chép				Loại cá ông lý thích nhất là cá chép
4.裏		Lý			Mặt trái			Ông ý mặc y phục bị trái
5.野		Dã			Hoang dã			Ông lý dự đoán sắp bị dã
6.埋		Mai			Chôn				Chôn ông lý xuống đất
7.量		Lượng		Số lượng			Ngày mồng 1 ông lý đi mua số lượng hàng lớn
8.糧		Lương		Lương thực			Số lượng gạo lớn là lương thực
9.童		Đồng		Nhi đồng			Đứng trên đầu ông lý là nhi đồng
10.瞳	Đồng		Đồng tử				Mặt của nhi đồng có đổng tử
11.鐘	Chung		Chuông				Nhi đồng dùng vàng đúc chuông
12.憧	Sung		Mong ước			Trái tim nhi đồng rất nhiều mong ước
13.黒	Hắc			Màu đen				Ruộng đất cháy đen
14.墨	Mặc			Mực đen				Dùng đất đen để làm mực
15.黙	Mặc			Lặng im				Con chó đen thì phải im lặng
16.厘	Li			Một ít				Dưới sườn núi ông lý bé li ti

1.予		Dự			Dự báo				Dự báo gặp Ma sẽ hét A lên
2.預		Dự			Gửi					Dự định mang tiền giấy đi gửi
3.序		Tự			Thứ tự				Dưới mái hiên dự là phải đi theo thứ tự

1.首		Thủ			Thủ tướng, cổ		21 tuổi tự mình làm thủ tướng
2.道		Đạo			Đường đi			Dẫn đường cho thủ tướng
3.導		Đạo			Chỉ đạo				Chỉ đạo đường đi rất thốn

1.相		Tương		Tương tự			Cây tre có những mắt tương tự nhau
2.箱		Tương		Cái hộp				Cây trúc tương tự nhau dùng làm hộp
3.想		Tưởng		Tưởng tượng			Trái tim tương tự nhau đang tưởng tượng
4.霜		Sương		Sương muối			Mưa tương tự như sương muối

1.副		Phó			Phó giám đốc		1 cái mồm trên ruộng cầm đao là phó giám đốc
2.福		Phúc		Phúc lợi			1 cái mồm trên ruộng được ăn thị là có phúc
3.幅		Phúc		Bề ngang			Dùng khăn quấn vào 1 cái mồm trên ruộng đo bề ngang
4.富		Phú			Phong phú			Dưới mái nhà có 1 cái mồm nhiều ruộng là phú ông

1.中		Trung		Ở giữa				Mồm là Trung tâm của mọi việc
2.忠		Trung		Trung thành			Người sống ở Trung Tâm thành phố rất Trung thực
3.仲		Trọng		Trọng tài			Người Đứng ở Trung tâm làm Trọng tài
4.沖		Trùng		Rộng lớn			Các Nước ở Trung tâm rất Rộng lớn

1.支		Chi			Chi nhánh			Đi lại ở 10 Chi nhánh
2.肢		Chi			Tay chân			Nguyệt và Chi thân nhau như Tay chân
3.枝		Chi			Cành cây			Chi bẻ Cành cây trên Cây
4.技		Kĩ			Kĩ thuật			Tay của Chi có Kĩ thuật rất cao
5.伎		Kĩ			Kĩ nghệ				Người đứng tên Chi là người có Kĩ nghệ
6.岐		Kì			Phân nhánh			Chi phân núi thành các Nhánh

1.文		Văn			Văn học				Đầu rất mê văn học
2.紋		Văn			Hoa văn				Trong văn học sợi tơ được mô tả rất hoa văn
3.蚊		Văn			Con muỗi			Trong văn học con côn trùng là con muỗi
4.対		Đối			Phản đối			Làm văn thốn quá nên bị phản đối

1.皮		Bì			Da					Ở dưới sườn núi mở chi nhánh bán đồ da
2.疲		Bì			Mệt mỏi				Phát bệnh trên da là mệt mỏi
